correction;amortization;interest;balance;dfi;mip;payment;rent;rent_savings;home_value;equity;purchase_savings
0.0;539.68;1583.16;279460.32;21.84;65.39371488;2210.0737148800004;1160.0;120000.0;400000.0;120539.68;96539.68
0.0;542.82;1580.11;278917.49;21.84;65.26669265999999;2210.03669266;1160.0;121166.88332488772;400414.29840587935;121496.80840587936;97471.9505015266
0.0;545.98;1577.04;278371.51;21.84;65.13893334;2209.99893334;1160.0;122334.8552178684;400829.0259196815;122457.51591968146;98407.77436450057
0.0;549.16;1573.95;277822.35;21.84;65.01042989999999;2209.9604299000002;1160.0;123503.91598487186;401244.18298585323;123421.83298585325;99347.18200670206
0.0;552.36;1570.85;277269.99;21.84;64.88117765999999;2209.9311776600002;1160.0;124674.0759370914;401659.77004930173;124389.78004930174;100290.19384634364
0.0;555.58;1567.72;276714.41;21.84;64.75117193999999;2209.8911719400003;1160.0;125845.32537168355;402075.7875553949;125361.37755539495;101236.83030207126
0.0;558.81;1564.58;276155.6;21.84;64.6204104;2209.8504104;1160.0;127017.66458374931;402492.2359499621;126336.63594996213;102187.10179296441
0.0;562.06;1561.42;275593.54;21.84;85.98518447999999;2231.30518448;1160.0;128212.61090995764;402909.11567929434;127315.57567929436;103141.0287385367
0.0;565.33;1558.25;275028.21;21.84;85.80880152;2231.22880152;1160.0;129408.63423186353;403326.4271901448;128298.21719014476;104098.63155873607
0.0;568.62;1555.05;274459.59;21.84;85.63139208000001;2231.14139208;1160.0;130605.72455194093;403744.1709297295;129284.58092972945;105059.93067394568
0.0;571.93;1551.83;273887.66;21.84;85.45294992;2231.0529499199997;1160.0;131803.88186642015;404162.3473457276;130274.68734572764;106024.94650498398
0.0;575.26;1548.6;273312.4;21.84;85.2734688;2230.9734688;1160.0;133003.1161749346;404580.9568862821;131268.55688628205;106993.69947310512
0.0;578.6;1545.35;272733.8;21.84;85.0929456;2230.8829456;1174.5;134148.64679680677;404999.9999999999;132266.1999999999;107966.1999999999
0.0;581.97;1542.08;272151.84;21.84;84.91137408;2230.80137408;1174.5;135335.45819208075;405419.47713595274;133267.6371359527;108942.46850779555
0.0;585.35;1538.79;271566.49;21.84;84.72874488;2230.70874488;1174.5;136523.32246868082;405839.3887436774;134272.89874367742;109922.53541905677
0.0;588.75;1535.48;270977.73;21.84;84.54505175999999;2230.6150517600004;1174.5;137712.23957798057;406259.7352731763;135282.0052731763;110906.42115678573
0.0;592.18;1532.15;270385.56;21.84;84.36029472;2230.5302947200003;1174.5;138902.21948095935;406680.51717491786;136294.95717491786;111894.12614442279
0.0;595.62;1528.8;269789.94;21.84;84.17446128;2230.43446128;1174.5;140093.25211641405;407101.73489983723;137311.79489983723;112885.690805847
0.0;599.08;1525.43;269190.85;21.84;83.98754519999999;2230.3375452000005;1174.5;141285.33741683647;407523.3888993365;138332.53889933653;113881.13556537635
0.0;602.56;1522.04;268588.29;21.84;83.79954647999999;2230.23954648;1174.5;142478.47531465327;407945.47962528537;139357.1896252854;114880.46084776826
0.0;606.07;1518.64;267982.22;21.84;83.61045263999999;2230.16045264;1174.5;143672.68574903932;408368.0075300215;140385.7875300215;115883.70707822022
0.0;609.59;1515.21;267372.64;21.84;83.42026368;2230.0602636800004;1174.5;144867.94863980522;408790.973066351;141418.333066351;116890.87468236995
0.0;613.13;1511.76;266759.51;21.84;83.22896712000001;2229.95896712;1174.5;146064.26389419223;409214.3766875492;142454.86668754916;117902.00408629622
0.0;616.69;1508.3;266142.81;21.84;83.03655672;2229.86655672;1189.18;147246.94725251466;409638.2188473606;143495.40884736058;118917.11571651895
0.0;620.28;1504.81;265522.54;21.84;82.84303247999999;2229.7730324800004;1189.18;148386.14940798294;410062.4999999999;144539.9599999999;119936.2099999999
0.0;623.88;1501.3;264898.66;21.84;82.64838191999999;2229.66838192;1189.18;149570.87565936506;410487.22060015216;145588.56060015218;120959.32736414306
0.0;627.5;1497.78;264271.15;21.84;82.4525988;2229.5725988;1189.18;150756.64962237063;410912.38110297336;146641.23110297334;121986.48823679495
